name,date
SAMN15888947,2020-08
SAMN15888951,2020-08
SAMN15888965,2020-08
SAMN15888964,2020-08
SAMN15888960,2020-08
SAMN15913800,2020-08
SAMN15913864,2020-08
SAMN15913850,2020-08
SAMN15923948,2020-07-18
SAMN15925141,2020-08
SAMN15942319,2020-08
SAMN15942321,2020-08
SAMN16063490,2020-08
SAMN16090150,2020-09
SAMN16094362,2020-09
SAMN16112410,2020-09
SAMN16112409,2020-09
SAMN16112406,2020-09
SAMN16112431,2020-09
SAMN16112411,2020-09
SAMN16112446,2020-09
SAMN16112448,2020-09
SAMN16112464,2020-09
SAMN16119230,2020-09
SAMN16119233,2020-09
SAMN16119236,2020-09
SAMN16122027,2020-09
SAMN16122022,2020-09
SAMN16122042,2020-09
SAMN16201845,2020-09
SAMN16221575,2020-09
SAMN16221577,2020-09
SAMN16221581,2020-09
SAMN16221582,2020-09
SAMN12617207,2019-08
SAMN12617268,2019-08
SAMN12617247,2019-08
SAMN12628475,2017-08-02
SAMN12628471,2017-08-02
SAMN12628537,2019-08
SAMN12628541,2019-08
SAMN12637413,2017-08-02
SAMN12637419,2017-08-02
SAMN12637426,2017-08-02
SAMN12637566,2017-08-02
SAMN12637874,2017-08-02
SAMN12630987,2019-08
SAMN12630998,2019-08
SAMN16265819,2020-09
SAMN12648197,2019-08
SAMN12661884,2017-11-15
SAMN12661930,2017-11-15
SAMN12661944,2017-11-15
SAMN12662156,2017-08-07
SAMN12662483,2019-08
SAMN12662500,2019-08
SAMN16354237,2020-09
SAMN16354250,2020-09
SAMN16354248,2020-09
SAMN12669462,2019-08
SAMN16363730,2020-07
SAMN16363886,2020-02
SAMN16363947,2019-12
SAMN16363964,2020-07
SAMN16364000,2020-05
SAMN16363992,2019-12
SAMN16364093,2020-09
SAMN16364125,2020-08
SAMN16364137,2020-04
SAMN12670429,2019-08
SAMN12670436,2019-08
SAMN12670437,2019-08
SAMN12684537,2017-11-15
SAMN12684718,2017-11-15
SAMN12684711,2017-11-15
SAMN12684768,2017-11-15
SAMN12684773,2017-11-15
SAMN12684772,2017-11-15
SAMN16415671,2020-09
SAMN16408515,2019-12-20
SAMN16408511,2020-06-03
SAMN12702525,2019-08
SAMN12711719,2019-08
SAMN12713626,2019-08
SAMN12713625,2019-08
SAMN12713619,2019-08
