sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMN04577943,SRR3289577,2005-04,2005-03-31,2005-04-30,United Kingdom: None,135115,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577945,SRR3289579,2011-09,2011-08-31,2011-09-30,United Kingdom: None,125996,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577948,SRR3289582,2015-08,2015-07-31,2015-08-31,United Kingdom: None,142673,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577949,SRR3289583,2015-08,2015-07-31,2015-08-31,United Kingdom: None,161892,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577951,SRR3289586,2012-07,2012-06-30,2012-07-31,United Kingdom: None,126018,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577953,SRR3289588,2015-08,2015-07-31,2015-08-31,United Kingdom: None,152346,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577954,SRR3289589,2013-01,2013-01-01,2013-01-31,United Kingdom: None,135135,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577957,SRR3289593,2015-07,2015-06-30,2015-07-31,United Kingdom: None,140717,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577960,SRR3289596,2009-08,2009-07-31,2009-08-31,United Kingdom: None,125982,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577962,SRR3289598,2012-12,2012-12-01,2012-12-31,United Kingdom: None,126056,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577969,SRR3289606,2011-09,2011-08-31,2011-09-30,United Kingdom: None,126024,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577970,SRR3289607,2015-08,2015-07-31,2015-08-31,United Kingdom: None,152348,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577974,SRR3289612,2015-08,2015-07-31,2015-08-31,United Kingdom: None,152505,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577979,SRR3289618,2015-08,2015-07-31,2015-08-31,United Kingdom: None,142674,human,ILLUMINA,Illumina HiSeq 2500,WGS
