,sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read,clade
1250,SAMN13023763,SRR10271506,2013-05-22,2013-05-21,2013-05-22,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2013,05,22,,,False,Clade B
1251,SAMN13023774,SRR10271517,2013-05-30,2013-05-29,2013-05-30,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2013,05,30,,,False,Clade C1
1252,SAMN13023776,SRR10271519,2015-05-13,2015-05-12,2015-05-13,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2015,05,13,,,False,Clade A
1253,SAMN13023778,SRR10271521,2013-07-19,2013-07-18,2013-07-19,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2013,07,19,,,False,Clade A
1254,SAMN13023788,SRR10271531,2014-03-18,2014-03-18,2014-03-18,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,18,,,False,Clade A
1255,SAMN13023813,SRR10271556,2014-09-29,2014-09-28,2014-09-29,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2014,09,29,,,False,Clade C1
1256,SAMN13024602,SRR10271589,2015-06-05,2015-06-04,2015-06-05,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2015,06,05,,,False,Clade B
1257,SAMN13024616,SRR10271603,2014-05-18,2014-05-17,2014-05-18,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2014,05,18,,,False,Clade C1
1258,SAMN13023969,SRR10271628,2015-06-26,2015-06-25,2015-06-26,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2015,06,26,,,False,Clade C1
1259,SAMN13023974,SRR10271633,2014-06-17,2014-06-16,2014-06-17,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2014,06,17,,,False,Clade C1
1260,SAMN13024711,SRR10271698,2014-02-15,2014-02-15,2014-02-15,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2014,02,15,,,False,Clade A
1261,SAMN13023839,SRR10271753,2015-04-20,2015-04-19,2015-04-20,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2015,04,20,,,False,Clade C1
1262,SAMN13024236,SRR10271852,2014-03-06,2014-03-06,2014-03-06,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,06,,,False,Clade C1
1263,SAMN13024249,SRR10271865,2013-04-23,2013-04-22,2013-04-23,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2013,04,23,,,False,Clade C1
1264,SAMN13024257,SRR10271873,2014-06-26,2014-06-25,2014-06-26,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2014,06,26,,,False,Clade C1
