sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read
SAMN06650418,SRR5395683,2015-08-30,2015-08-29,2015-08-30,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,30,,,False
SAMN06650415,SRR5395686,2015-08-30,2015-08-29,2015-08-30,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,30,,,False
SAMN06650412,SRR5395689,2015-08-30,2015-08-29,2015-08-30,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,30,,,False
SAMN06650409,SRR5395692,2015-08-30,2015-08-29,2015-08-30,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,30,,,False
SAMN06650407,SRR5395694,2015-08-30,2015-08-29,2015-08-30,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,30,,,False
SAMN06650404,SRR5395697,2015-08-30,2015-08-29,2015-08-30,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,30,,,False
SAMN06650402,SRR5395699,2015-08-30,2015-08-29,2015-08-30,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,30,,,False
SAMN06650399,SRR5395702,2015-08-30,2015-08-29,2015-08-30,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,30,,,False
SAMN06650386,SRR5395715,2015-08-20,2015-08-19,2015-08-20,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,20,,,False
SAMN06650385,SRR5395716,2015-08-20,2015-08-19,2015-08-20,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,20,,,False
SAMN06650384,SRR5395717,2015-08-20,2015-08-19,2015-08-20,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,20,,,False
SAMN06650380,SRR5395721,2015-08-20,2015-08-19,2015-08-20,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,20,,,False
SAMN06650379,SRR5395722,2015-08-20,2015-08-19,2015-08-20,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,20,,,False
SAMN06650376,SRR5395725,2015-08-20,2015-08-19,2015-08-20,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,20,,,False
SAMN06650374,SRR5395727,2015-08-20,2015-08-19,2015-08-20,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,20,,,False
SAMN06650372,SRR5395729,2015-08-20,2015-08-19,2015-08-20,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,20,,,False
SAMN06650371,SRR5395730,2015-08-20,2015-08-19,2015-08-20,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,20,,,False
SAMN06650369,SRR5395732,2015-08-20,2015-08-19,2015-08-20,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,20,,,False
SAMN06650357,SRR5395744,2015-08-10,2015-08-09,2015-08-10,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,10,,,False
SAMN06650356,SRR5395745,2015-08-10,2015-08-09,2015-08-10,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,08,10,,,False
